time,open,high,low,close,MA,MA,MA,MA,MA,MA,Relative Strength Line,Relative Strength Line MA,PlotCandle (開盤價),PlotCandle (最高價,PlotCandle (最低價),PlotCandle (關閉),Shapes,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2016-12-12,28.3225,28.75,28.1225,28.325,26.328662500000004,26.45391666666671,28.159700000000047,27.647124999999953,27.77075,28.01750000000002,37.60737852562258,37.92914734275749,,,,,0,105497508,132035847.28,58.0838862821523,50.074060153885405,,,,,,
2016-12-13,28.46,28.98,28.4375,28.7975,26.346987500000004,26.49171666666671,28.173050000000043,27.765624999999954,27.863999999999997,28.27950000000002,38.27825925138239,37.96088478899612,,,,,1,174935244,133798411.36,63.72729887781205,50.929864667772094,,,,,,
2016-12-14,28.76,29.05,28.745,28.7975,26.365037500000007,26.533133333333378,28.184000000000047,27.866624999999953,27.980749999999993,28.487500000000022,38.02955469864244,37.96712750805487,,,,,0,136127336,134142011.28,63.72729887781205,51.93108298095277,,,,,,
2016-12-15,28.845,29.1825,28.8075,28.955,26.382937500000008,26.57530000000004,28.197850000000045,27.93949999999996,28.139,28.67250000000002,38.55046865014556,38.02015852097221,,,,,0,186098176,136147727.68,65.52183831607088,52.91693554657776,,,,,,
2016-12-16,29.1175,29.125,28.91125,28.9925,26.399137500000005,26.61211666666671,28.20825000000005,28.014749999999957,28.290749999999996,28.77350000000002,38.45108155064256,38.059333341851335,,,,,0,177404536,137393473.36,65.95373314233015,53.99505789044644,,,,,,
2016-12-19,28.95,29.345,28.9375,29.16,26.417600000000007,26.650700000000043,28.221150000000048,28.09699999999996,28.478999999999996,28.94050000000002,38.7410487717387,38.12130747184109,,,,,0,111117692,137667151.76,67.88864320322776,55.24362206094192,,,,,,
2016-12-20,29.185,29.375,29.17,29.2375,26.437500000000004,26.688016666666712,28.225650000000044,28.162249999999954,28.653999999999996,29.02850000000002,38.76744175767834,38.180046952371754,,,,,0,85699860,136482272.48,68.77293189018486,56.8271650733838,,,,,,
2016-12-21,29.2,29.35,29.195,29.265,26.457425000000008,26.726116666666712,28.229450000000043,28.22799999999996,28.804749999999995,29.12200000000002,38.663266923849285,38.223976040687894,,,,,0,95132660,133261642.24,69.09812098666059,58.706217619554316,,,,,69.09812098666059,
2016-12-22,29.0875,29.1275,28.91,29.0725,26.476325000000006,26.76123333333338,28.224200000000046,28.291249999999955,28.909,29.14550000000002,38.503562630784316,38.24939300342393,,,,,0,104343416,132341567.6,64.06853452333448,60.08758497351836,,,,,,
2016-12-23,28.8975,29.13,28.8975,29.13,26.494150000000005,26.79471666666671,28.221900000000048,28.350374999999964,28.973249999999997,29.17300000000002,38.65172316184275,38.285968472371096,,,,,0,56997936,130666133.84,64.89060893857663,61.7375095216506,,,,,,
