time,open,high,low,close,50MA,150MA,200MA,Pivot,Handle Low,Buy Zone Upper,C&H Detected,Qualified Setup,Breakout Wait,Retest Seen,BUY Hold,BUY Retest,Pattern Failed,Breakout Failed,Stop,MA,MA,MA,MA,MA,MA,50MA,150MA,200MA,Pivot,Handle Low,Buy Zone Upper,C&H Detected,Qualified Setup,Breakout Wait,Retest Seen,BUY Hold,BUY Retest,Pattern Failed,Breakout Failed,Stop,Relative Strength Line,Relative Strength Line MA,PlotCandle (開盤價),PlotCandle (最高價,PlotCandle (最低價),PlotCandle (關閉),Shapes,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2013-12-16,0.37575,0.37925,0.3755,0.376,0.3863150000000001,,0.36221287500000043,,,,0,0,0,0,0,0,0,0,0,0.36221287500000043,0.37469300000000055,0.3863150000000001,0.3866937500000002,0.3855374999999999,0.38069999999999976,0.3863150000000001,,0.36221287500000043,,,,0,0,0,0,0,0,0,0,0,0.6353784106527274,0.6470419043663665,,,,,0,237780120,300913689.6,41.67122378783072,49.706215857903544,,,,,,
2013-12-17,0.37575,0.37875,0.3725,0.37775,0.38607500000000017,,0.36250162500000044,,,,0,0,0,0,0,0,0,0,0,0.36250162500000044,0.37476216666666723,0.38607500000000017,0.3858562500000003,0.3839624999999999,0.3784499999999998,0.38607500000000017,,0.36250162500000044,,,,0,0,0,0,0,0,0,0,0,0.634326687339774,0.6458859755457672,,,,,0,274271480,303000081.6,43.33961034109281,48.99918948529161,,,,,,
2013-12-18,0.3785,0.38375,0.37375,0.383,0.3860050000000001,,0.3628178750000005,,,,0,0,0,0,0,0,0,0,0,0.3628178750000005,0.3748771666666672,0.3860050000000001,0.38570625000000025,0.3823624999999999,0.3779999999999998,0.3860050000000001,,0.3628178750000005,,,,0,0,0,0,0,0,0,0,0,0.6451431779898934,0.6458184484952332,,,,,0,426231480,305710317.6,48.13267820196543,48.558706784242695,,,,,,
2013-12-19,0.3825,0.385,0.38,0.3845,0.38608500000000007,,0.36314537500000044,,,,0,0,0,0,0,0,0,0,0,0.36314537500000044,0.3749621666666672,0.38608500000000007,0.3859187500000002,0.3815624999999999,0.3793499999999998,0.38608500000000007,,0.36314537500000044,,,,0,0,0,0,0,0,0,0,0,0.6370640377764891,0.6450225929753474,,,,,0,258621280,305365502.4,49.44846347306042,48.36404187763487,,,,,,
2013-12-20,0.38525,0.3925,0.38425,0.392125,0.38623500000000005,,0.3635035000000005,,,,0,0,0,0,0,0,0,0,0,0.3635035000000005,0.3751030000000005,0.38623500000000005,0.3863625000000003,0.38209999999999994,0.38267499999999977,0.38623500000000005,,0.3635035000000005,,,,0,0,0,0,0,0,0,0,0,0.650074602122016,0.6454818665341354,,,,,1,382080680,308537240.8,55.6127486464922,48.406502104681046,,,,,,
2013-12-23,0.3945,0.39775,0.39125,0.3945,0.3864950000000001,,0.3638891250000005,,,,0,0,0,0,0,0,0,0,0,0.3638891250000005,0.3752463333333339,0.3864950000000001,0.38711250000000025,0.3835374999999999,0.3863749999999998,0.3864950000000001,,0.3638891250000005,,,,0,0,0,0,0,0,0,0,0,0.6508755334594571,0.6459721998909829,,,,,0,168567520,307634500.8,57.35698260745116,48.59026010663529,,,,,,
2013-12-24,0.39675,0.39675,0.3915,0.3955,0.38666000000000006,,0.36427412500000045,,,,0,0,0,0,0,0,0,0,0,0.36427412500000045,0.37548300000000057,0.38666000000000006,0.38750000000000023,0.3841874999999999,0.3899249999999998,0.38666000000000006,,0.36427412500000045,,,,0,0,0,0,0,0,0,0,0,0.6490735726125416,0.6462541428656701,,,,,0,79601360,305893965.6,58.10350906639917,48.53176379377981,,,,,,
2013-12-26,0.397,0.398125,0.39075,0.39175,0.3867900000000001,,0.36464037500000046,,,,0,0,0,0,0,0,0,0,0,0.36464037500000046,0.3756563333333339,0.3867900000000001,0.3875375000000002,0.3848374999999999,0.3916749999999998,0.3867900000000001,,0.36464037500000046,,,,0,0,0,0,0,0,0,0,0,0.6410501167281216,0.6457810495804384,,,,,0,168920160,305095012.8,54.26689428258437,48.63830872987178,,,,,,
2013-12-27,0.39375,0.39475,0.3915,0.394,0.3868700000000001,,0.3650166250000004,,,,0,0,0,0,0,0,0,0,0,0.3650166250000004,0.3758596666666672,0.3868700000000001,0.38761250000000025,0.38646249999999993,0.3935749999999998,0.3868700000000001,,0.3650166250000004,,,,0,0,0,0,0,0,0,0,0,0.6416868437910556,0.6454088490541309,,,,,0,210977000,305113128,56.1382970086301,49.21931494815066,,,,,,
2013-12-30,0.39425,0.3995,0.39375,0.39925,0.38704000000000016,,0.3654328750000005,,,,0,0,0,0,0,0,0,0,0,0.3654328750000005,0.3760996666666672,0.38704000000000016,0.3880750000000003,0.3888374999999999,0.39499999999999974,0.38704000000000016,,0.3654328750000005,,,,0,0,0,0,0,0,0,0,0,0.6504561746497229,0.6458676968355483,,,,,1,248210680,305810891.2,60.227860757992254,50.438265395084095,,,,,,
2013-12-31,0.4,0.4025,0.3975,0.4005,0.3871450000000001,,0.36586662500000044,,,,0,0,0,0,0,0,0,0,0,0.36586662500000044,0.3763630000000005,0.3871450000000001,0.3884125000000002,0.3912874999999999,0.3961999999999998,0.3871450000000001,,0.36586662500000044,,,,0,0,0,0,0,0,0,0,0,0.6526096237514054,0.6464805992824444,,,,,0,235785240,305425274.4,61.156496259690144,51.20785451527629,,,,,,
2014-01-02,0.398,0.3995,0.393,0.3965,0.3871500000000001,,0.36629037500000045,,,,0,0,0,0,0,0,0,0,0,0.36629037500000045,0.3765680000000005,0.3871500000000001,0.38856250000000025,0.3931624999999999,0.39639999999999975,0.3871500000000001,,0.36629037500000045,,,,0,0,0,0,0,0,0,0,0,0.6435434655586574,0.6462135871257365,,,,,0,260091840,306726917.6,56.6020735674003,51.84877030885683,,,,,,
2014-01-03,0.39725,0.3980025,0.3905,0.39175,0.38710000000000017,,0.36667162500000045,,,,0,0,0,0,0,0,0,0,0,0.36667162500000045,0.37676800000000055,0.38710000000000017,0.3882000000000002,0.39403749999999993,0.39639999999999975,0.38710000000000017,,0.36667162500000045,,,,0,0,0,0,0,0,0,0,0,0.6415190122162905,0.6457868075885141,,,,,0,259331520,308324229.6,51.68017131120587,52.49635562276605,,,,,,
2014-01-06,0.39575,0.4,0.392,0.397,0.3872895000000001,,0.36710412500000045,,,,0,0,0,0,0,0,0,0,0,0.36710412500000045,0.37700633333333383,0.3872895000000001,0.38842500000000024,0.3952874999999999,0.39699999999999974,0.3872895000000001,,0.36710412500000045,,,,0,0,0,0,0,0,0,0,0,0.6503328109557326,0.6462000806218976,,,,,1,409496680,311469541.6,56.21230871351188,53.567808430379046,,,,,,
2014-01-07,0.401,0.405,0.398125,0.4035,0.3876670000000001,,0.36756162500000045,,,,0,0,0,0,0,0,0,0,0,0.36756162500000045,0.3772846666666672,0.3876670000000001,0.3892625000000003,0.3964249999999999,0.39784999999999976,0.3876670000000001,,0.36756162500000045,,,,0,0,0,0,0,0,0,0,0,0.662644996359695,0.6476950729616974,,,,,0,333286800,313406559.2,61.07966351653018,54.95412555385757,,,,,,
2014-01-08,0.405,0.411,0.4035,0.409,0.3882270000000001,,0.3680553750000004,0.39975,0.3905,,1,1,0,0,0,0,0,0,0,0.3680553750000004,0.3776513333333338,0.3882270000000001,0.39070625000000025,0.397875,0.39954999999999974,0.3882270000000001,,0.3680553750000004,0.39975,0.3905,,1,1,0,0,0,0,0,0,0,0.6676170370209153,0.6495061606034445,,,,,0,308199200,312960502.4,64.6593837909328,56.47696651456043,,,,,64.6593837909328,
2014-01-09,0.40275,0.4035,0.3925,0.39375,0.38849700000000015,,0.3684616250000004,0.39975,0.3905,,0,0,0,0,0,0,0,0,0,0.3684616250000004,0.3779013333333338,0.38849700000000015,0.39094375000000026,0.39769999999999994,0.39899999999999974,0.38849700000000015,,0.3684616250000004,0.39975,0.3905,,0,0,0,0,0,0,0,0,0,0.6428606414184567,0.6489020224957183,,,,,0,292203160,310924112.8,50.727551366272806,56.66231459772524,,,,,,
2014-01-10,0.395,0.39775,0.38975,0.39325,0.3887470000000001,,0.3688466250000005,0.39975,0.3905,,0,0,0,0,0,0,0,0,0,0.3688466250000005,0.3781155000000005,0.3887470000000001,0.3913437500000002,0.3978499999999999,0.3992999999999997,0.3887470000000001,,0.3688466250000005,0.39975,0.3905,,0,0,0,0,0,0,0,0,0,0.6418207634933328,0.6482582716773196,,,,,0,218493360,307534928,50.34453803999272,56.72631992393469,,,,,,
2014-01-13,0.39325,0.395625,0.38325,0.384,0.3888170000000002,,0.36916287500000045,0.39975,0.3905,,0,0,0,0,0,0,1,0,0,0.36916287500000045,0.3782688333333338,0.3888170000000002,0.39165625000000026,0.39684999999999987,0.3966999999999997,0.3888170000000002,,0.36916287500000045,0.39975,0.3905,,0,0,0,0,0,0,1,0,0,0.6252815666777033,0.6461694803137181,,,,,0,243331960,308320956.8,43.76160234584098,55.87980947388818,,,43.76160234584098,,,
2014-01-14,0.386,0.39675,0.38425,0.396,0.3891425000000001,,0.3695916250000005,,,,0,0,0,0,0,0,0,0,0,0.3695916250000005,0.37854716666666716,0.3891425000000001,0.39268125000000026,0.3965249999999999,0.3951999999999997,0.3891425000000001,,0.3695916250000005,,,,0,0,0,0,0,0,0,0,0,0.6530343007915568,0.6467935549026126,,,,,1,241826520,307290104.8,52.448347205012716,55.52919265942829,,,,,,
2014-01-15,0.39775,0.401625,0.396,0.40025,0.38952000000000014,,0.37005850000000046,,,,0,0,0,0,0,0,0,0,0,0.37005850000000046,0.3788738333333338,0.38952000000000014,0.39389375000000026,0.3964999999999999,0.39344999999999974,0.38952000000000014,,0.37005850000000046,,,,0,0,0,0,0,0,0,0,0,0.6529789872096058,0.647355866930521,,,,,0,175042840,306668220,55.093931072706,55.31422280273593,,,,,,
